bias,text
neutral,Yes. RT @themainepain UI vote this week?
neutral,It was great being able to attend the grand opening of the Lloyd House in Menominee yesterday! http://t.co/IYtaDi0BCO
neutral,@MedicareGov Open Enrollment starts next week. I am holding two assistance events Oct. 22 in KCK &amp; Nov. 6 in Mission: http://t.co/hIToDZX8nq
neutral,FBI Director: Hasan was inspired by al-Qaida. #TX25 #FortHood http://t.co/y2SStBAI7K
neutral,RT @TelemundoNews: La congresista Ileana @RosLehtinen explica por quĚ© la #reformamigratoria podrĚ_a verse afectada por la crisis en #Siria #‰Ű_
neutral,How does @NSF research strengthen our people &amp; help us make smarter decisions? Watch here: #Stand4Science #ncpol http://t.co/h7ajDbk42j
neutral,Harvey Milk spoke out so that others wouldn‰ŰŞt feel compelled to live in silence-TB #Equality #HarveyMilkStamp
neutral,Great to visit @Kmart Pharmacy in @Mentor_Ohio this morning and learn more about their work. #OH14 http://t.co/get8ChqRWo
partisan,In Case You Missed It: Roe Supports the SIMPLE Fairness Act. VIDEO: http://t.co/wRfvcrLakf
neutral,"Tomorrow, the House will vote on my bill to incentivize small biz to hire veterans and provide relief from the ACA http://t.co/Y2TMZsCoN7"
partisan,"We need campaign finance reform, and the Fair Elections Now Act is a step in the right direction. http://t.co/yfc6GbRD"
neutral,"McConnell supports bill to  protect corrections officers at prisons in Manchester, Pine Knot, Ashland, Inez &amp; Lex  http://t.co/iofLfChpmE"
neutral,"Welcome back to my colleague @SenatorKirk, returning to Senate today. Read his inspiring story: http://t.co/6aZnQmzD"
neutral,#Karen: A mandatory evacuation is currently in place for Grand Isle. #Louisiana
neutral,@DMogahed Looking forward to it.
partisan,Another example of the most transparent administration in US history right? What are they hiding? #FastAndFurious ?http://t.co/ZovhzLXckT
neutral,Ending this evening w/ prayers for the family of Police Chief Pimentel &amp; for the entire community of Elmendorf. Their loss is our loss.
neutral,RT @93wibc: News: Rokita Bill Calls on Surveillance Court to Declassify Rulings http://t.co/i2MwqTcPIq #FISA
neutral,LIVE HEARING‰ŰÓ&gt; ‰ŰĎMonetary Policy and the State of the Economy‰Űť Fed Chair Janet Yellen to testify  http://t.co/7Wn7KmsoIb
partisan,"2012 #SOTU: ‰ŰĎI want to cut through the maze of confusing training programs,‰Űť @HouseGOP passed #SKILLSAct does that, tell Senate to pass it!"
partisan,"I'm asking w/ @RepErikPaulsen, @SenJohnBarrasso, and others why IRS sees $100B in Obamacare taxes as insignificant. http://t.co/vt362ZuHFC"
neutral,I am very pleased that the Mahoning Juvenile Court is taking the proper steps to address #MentalHealth http://t.co/dXFM8edLDM @vindicator
partisan,Thanks to everyone who joined us for this week‰ŰŞs #MOMornings. Learn more about how you can attend here: http://t.co/4JzmfonFRz
neutral,Spending the day at Ft Benning. Yesterday toured the Nat Infantry Museum. http://t.co/1dQImxq1fA
neutral,It was great meeting with representatives from Microsoft during my CHC visit to their DC office earlier today. http://t.co/LKNCJJKbcr
neutral,"Watch our press conference introducing #CHIFF, the Children in Families First Act: http://t.co/wQvLTnGiBb Learn more: http://t.co/2Np4QLlPDC"
neutral,RT @HFACDemocrats: 1st episode of #AskEngel is up! @MetodijaKoloski &amp; @TheRealMrTim ask about US support for @NATO enlargement &amp; #Syria: ht‰Ű_
neutral,Happy Small Business Week! Find events and local businesses to support near you http://t.co/CiTvKqmB3i
partisan,"ICYMI: ‰ŰĎSmall business contracting numbers inflated by errors and exclusions, data show‰Űť via @washpost http://t.co/6eXnzra62b."
partisan,Our message to the American people is this: let's get Washington out of the way of how you use #yourtime. Watch &amp; RT http://t.co/VdDIlvIiFz
neutral,RT @SFAreaChamber: We're having lunch with @RepKristiNoem who will give us an update on D.C. and take Q's from Chamber members: Ramada Hote‰Ű_
neutral,Proud to suit up today touring @DaVita Kidney Care's Marked Tree facility w/ Bob Gallagher &amp; Shalonda Weatherspoon! http://t.co/oqVEO36W2a
neutral,Monday I met w/Lee‰ŰŞs Summit &amp; Blue Springs Chambers of Commerce about transit funding &amp; Marketplace Fairness Act http://t.co/LnekVda6Sz
neutral,"Kicking off a town hall meeting in Fossil, my 23rd town hall in 2013. http://t.co/uxzz4TtYCj"
neutral,"For more information about the @USDOL's Mine Rescue Day, please click here: http://t.co/rK06tHBy9B"
partisan,"@progressagent @ramya_bal Job training, education policy, food policy, retirement security, trade policy, international human rights . . ."
neutral,Tweet me questions for my town halls this Sat in Hayward and Pleasanton. Town hall info here: http://t.co/t5i1Y8Q5BC
neutral,"My #esea bill works in partnership w/ states to overhaul #nclb to improve schools, while boosting opportunities &amp; access for all students."
neutral,"This is long-overdue, but welcome news. RT @washingtonpost: Panetta removes military ban on women serving in combat http://t.co/jmgjiU6g"
neutral,In Lake Charles to discuss how we equip workers with the skills they need for the high-skill jobs of this century http://t.co/UanY71wjUn
neutral,@AldoCella1 thx Aldo!
neutral,http://t.co/Jj6T4Vk12x http://t.co/uE9KF7DQrF
neutral,Happy to be participating in 2013 #CoffeewithCongress series hosted by @SmartNonprofits &amp; @UnitedWayTC http://t.co/wLSU6x7v3y
partisan,RT @wsbtv: .@SenatorIsakson calling for hearing over Atlanta VA scandal: http://t.co/qKYiViGg0J @aarondiamant reports...
partisan,MT @jasoninthehouse: Classic Democrats blast House plan before it is even introduced Dems arent used to reading bills http://t.co/NFQYeeb9It
partisan,.@bernade87545622 @FWD_us Thanks for speaking out!  I agree the #TimeIsNow for #immigration reform http://t.co/FATsVIrqq7
neutral,First sighting of the new baby kangaroo at the @ColumbusZoo.  Can‰ŰŞt wait to check it out this summer with my family! http://t.co/VP6SaF0YHZ
neutral,"Victory doesn't always taste sweet, just ask @StillmankBeer, who won a bronze at the @GABF for their #MadeInWI bitter brew, Wisco Disco."
neutral,@oleharold We do have a serious problem. Rest assured I am working to find answers and fight corruption.
neutral,Please join me tonight for the Haltom City #TownHall Meeting at 6 pm ET: http://t.co/1LcndAKKtV
neutral,"Let's go, Huskies! #UConn"
partisan,My statement on Monday's #BPOilSpill into Lake Michigan. http://t.co/S8FbEnoADw
partisan,#Obamacare is more proof that we need #ReadtheBills to become law. Become a citizen co-sponsor today: https://t.co/KwQnoMnDSP
partisan,NSA Out of Control: http://t.co/t8ghSMxXk6 #NSA #NSAspeech
partisan,"Watching the IRS hearings this week makes me think the IRS is a good candidate for Mike Rowe's ""Dirty Jobs"" show. #BSIRS #IRSscandal"
partisan,Omw to leadership press conf on actions Congress can take to make sure everyone has a #FairShot - watch here http://t.co/mhTF6BUdWW
neutral,RT if you think the American people deserve to know the true cost of government http://t.co/7qTbZHB8Ez #nofreelunch #budget #tcot
neutral,"My wife, Erika, and I at the hospital after the birth of one of our kids. #throwbackthursday #TBT http://t.co/87hTiyqnKu"
neutral,At the Vietnam War Memorial ceremony at Brazos Valley Veterans Park #USA #RememberOurVets http://t.co/91etjuKz7C
neutral,"In honor of Festivus, tomorrow I will be airing my grievances, mostly against Washington.    Check back here in the morning."
partisan,Looking like Washington may have had more to do with #IRS misconduct http://t.co/A768oks1MI #HalthTheIRS #TeaParty
neutral,"Good morning, Minnesota! Polls open at 7AM -- text GOVOTE &amp; your full #MN address + zip to 97779 to find your polling place."
partisan,Nowhere in America do we allow one's boss to decide whether or not an employee was sexually assaulted except in the US military. #passMJIA
neutral,Spoke to @AP about protecting fishing families access to 1 of #SoFL's greatest treasures: @BiscayneNPS http://t.co/j3VsktfFEg
neutral,RT @CerritosPatch: LA County Police Chiefs Endorse Rep. SĚÁnchez Gun Violence Prevention Bill http://t.co/loy4k6ZSWJ
neutral,Great to see @Rancho_Cordova Mayor Linda Budge &amp; other City leaders in D.C. Good talk on improving local transit. http://t.co/t1vgN0mmUb
neutral,"LINK to @WashingtonPost / #Witnify video interview w Sen. Leahy, about his recollections from #JFK assassination: http://t.co/9n0kLT1AtK"
neutral,I'm happy for @jasoncollins34. His courageous act moves us one step closer to a more tolerant &amp; equal country. http://t.co/INoNeaeleW
neutral,I will be taking your questions live during a tele-townhall Wednesday night.  Click the link to sign up. #idpol http://t.co/PuOeQyBLj8
partisan,"I believe President Obama offered many common sense proposals to reducing gun violence. For example, background... http://t.co/g2xmO06E"
neutral,Thanks to AspenPointe's Brian Toon &amp; Stacey Burns for a tour of the incredible facility and program @FoodwithPurpose http://t.co/qeoUMzbbkm
neutral,Have a safe and happy St. Patrick's Day this weekend! #indy
neutral,"With @AmbassadorOren, @AmbShapiro, #Jerusalem Mayor Nir Barkat, @RepEliotEngel at #ObamainIsrael speech today. http://t.co/Mpa33xIPp3"
neutral,May our nation's adventurous spirit never again see the dark days of pain and loss as it did 27 years ago. #Challenger http://t.co/c2vc9C3U
partisan,"MT ""@SenRandPaul Follow my friend and ally @RepThomasMassie ‰ŰŇ a true voice in fight for liberty &amp; Const. gvt. RT if you agree. #TCOT"" thx!"
partisan,Here we go again. Transportation/housing bill is just the latest that grossly underfunds America's needs. cc: @AppropsDems
partisan,The President has instructed agencies to make #sequestration as painful as possible. Is that really what's best for America?
neutral,Tune in to @wjrradio w/ @PaulWJR to hear my #Oscars2014 recap... J/K we will discuss #Ukraine and suspending participation in the G-8 Summit
neutral,#Raisethewage on behalf of the 10 million restaurant workers who work for tips. It is not enough
partisan,The ultimate solution is we must repeal every word of Obamacare #CallwithCruz
neutral,Delivering the commencement address to the Fall 2013 class at @msstate. http://t.co/CdpzSuHvEo
partisan,"Pete voted NO on the divisive, anti-worker H.R. 1406: the mislabeled ""Working Families Flexibility Act."" No flexibility, just less OT pay."
partisan,.@MassGovernor‰ŰŞs 3.27mil investment in life sciences training equipment for MA schools will grow opportunities for STEM education.
neutral,"Remember, the deadline for the Congressional Art Competition is just one week away! http://t.co/rm8dNtzjXb"
neutral,"#marketplacefairness Act would help level playing field for retailers, and help states collect taxes already owed
http://t.co/wFhOKcHWK1"
neutral,Thx to @SenChapinRose for leading efforts to find a sustainable solution to deal with PCBs and protect the Mahomet Aquifer
neutral,"Edward Snowden, traitor or patriot? If your focus is national security, you likely feel Snowden is a traitor. MORE 
http://t.co/lgclFe1ikn"
neutral,Happy 4th of July #IL05! Lincoln's words are lasting reminder #freedom is what America is all about #IndependenceDay http://t.co/CNQ4XJ6edw
neutral,RIP MT @WillLewisWFMZ Law enforcement from all over the nation are lining the street in front of St Peter's Cathedral http://t.co/gIB7L2bRml
partisan,Today announced my support for commission on Army Force Structure to defend MD National Guard against budget attacks http://t.co/jCJeUun8vU
partisan,Claire: This is a bipartisan effort aimed at getting at the nature of the problem of campus sexual assault. #1is2many http://t.co/SSBtXpj5Oy
neutral,@scrab8448 Thanks for your past support. I look forward to connecting with you in the future.
neutral,@KuhlsLBI @makuhls Great being with you and your family! Don't hesitate to contact me. http://t.co/C4JsuubEgT http://t.co/F3CY3bbkUi
neutral,RT @StewSays: Sen. McConnell speaking now on the President's controversial nominee to the Dept. of Labor.
partisan,"We can't get back $24 billion lost in econ activity in 16 days of #shutdown, but we can move forward on issues that have stalled long enough"
partisan,The solution to #IRS targeting conservatives is eliminating the IRS. #Repeal16 http://t.co/Dau5myEJOo
partisan,"Great... MT @djheakin: President's budget says reforms to Medicare will extend solvency for 4 yrs. Assuming that's true, insolvency = 2028."
partisan,"As I told my colleagues on the House Floor this morning, it‰ŰŞs time to give hard-working Americans a raise. LIKE... http://t.co/tyv37yEeDV"
partisan,25 million hardworking Americans across every district will benefit if we #raisethewage to $10.10. Take a look: http://t.co/bvuazwN7Rc
neutral,On #KSVR now. 3604167000 for cal-in
partisan,Great crowds at the @MNAFLCIO &amp; @MinnesotaDFL booths today. Now let‰ŰŞs go win this thing: http://t.co/VH1OrDddc4 -Al http://t.co/bzksSsGQs5
neutral,Joining @larry_kudlow on @77WABCradio to discuss what's next for the IRS scandal and the Federal Reserve. http://t.co/bPUBqxYWxc
partisan,BREAKING: Non-partisan CBO reports #Obamacare will cost the nation 2.3 million jobs &amp; $1 trillion in new debt. http://t.co/SNrYBHFYcL
neutral,Honored by the opportunity to present an American Flag flown over the U.S. Capitol to Elant Wappingers Falls in... http://t.co/Xwzy2v5jju
partisan,Over-criminalization in the US has resulted in lost human capital. Judiciary Committee Task Force can change that:  http://t.co/Es8QbW8iHD
neutral,Congrats 2 the winners of @MiamiDadeCounty @FriendsLibrary teen photography contest #BlackHistoryMonth http://t.co/K2LQuvNJc4
neutral,Kicking off #ActsofKindness by reading to kids @ YWCA in New Britain #HonorWithAction http://t.co/wKRQ3zko2a
neutral,"5yrs ago, TransCanada submitted its application to the @StateDept for  #KeystoneXL.  #TimeToBuild #jobs &amp; advance #energysecurity for USA."
partisan,"My #OpportunityPlan
1. Equal Pay
2. Paid Family Leave
3. Raise Minimum Wage
4. Affordable Child Care
5. Pre-K For All
http://t.co/28IrbmieJ3"
neutral,Good to visit with amazon. Behind me is a mural celebrating their expansion into intl markets. http://t.co/uDEHjyJoH1
partisan,Those with chronic diseases could be left without access to vital medicines because of #ObamaCare http://t.co/czGohkDki2
partisan,".@CBSEveningNews To say there is no Al-Qaeda affiliate organizing, helping &amp; participating would be completely inaccurate #Benghazi"
neutral,"Thanks to all who came to my @TOQC_official town hall this pm, esp the high school students and Boy Scout Troop 746 http://t.co/RfBy3rQ6AT"
partisan,The House has passed numerous bills to empower students and make affordable education a possibility #StuckInTheSenate http://t.co/TgQTIOTNZT
partisan,Forget gun control: New #MentalHealth plan to stop mass shootings http://t.co/3kwNX0h7yO via @JFKucinich &amp; @PostTV #HR3717
partisan,If @BarackObama is truly worried about the full faith &amp; credit he will do something about our out-of-control debt. #SOTU #RandResponds
partisan,The President can support #jobs and #energy independence by approving #KeystoneXL  #SOTU
neutral,RT @WW2VetHal: Here is a photo of me with Sen. Mitch McConnell at the National World War II Memorial last week. @McConnellPress http://t.co‰Ű_
neutral,"""We‰ŰŞll reward schools that develop new partnerships with colleges..classes that focus on science, technology, engineering, and math."" #STEM"
neutral,2 more #BriefBrady townhalls this week. Hope to see you at one! Tomball - http://t.co/MnmdejoVUh Montgomery Co - http://t.co/NbA3CVhGOB
neutral,Welcome Secretary #Kerry.  Look forward to working with u on issues confronting the Western Hemisphere @HFACrepublicans #AZ05 #AZ
neutral,"Enjoyed speaking abt leadership &amp; service w/ 3rd, 4th &amp; 5th graders at Humanities &amp; Fine Arts Charter School http://t.co/dABFuxdoq7"
partisan,"RT @SpeakerBoehner: To learn more about the Gabriella Miller #KidsFirst Research Act, visit http://t.co/eDbHAiZqS4"
partisan,The #Obamacare effect is widening the income gap http://t.co/Il7mK3iLep
neutral,"Please tune-in to @CNNSitRoom with Wolf Blitzer today at 5pm, I will be discussing the #WaronPoverty50th Anniversary"
partisan,Pres. Roosevelt signed GI bill of rights into law 70 yrs ago‰ŰŇ one of greatest investments our nation has ever made. http://t.co/DN4DpQIS59
neutral,.@LowellFolkFest this weekend! Great music and fun with food from around the world. #LowellFolk http://t.co/xtWyijXN4m
neutral,Like my @facebook page for updates on how I'm working hard for you and others in #NM. http://t.co/rGuneVfKq2
neutral,Exhilarating to be at the @Chrysler 200 unveiling at the #NAIAS after car was built at plant almost shuttered 6 years ago
partisan,"RT @RonWyden: .@SenatorBarb, @MarkUdall &amp; I will file our NDAA amdt to bring more transparency to rulebook the NSA plays by. It's a 1st ste‰Ű_"
neutral,"STATEMENT REGARDING MISSING AIR ASIA FLIGHT QZ8501: 

I call upon the International Civil Aviation Organization... http://t.co/2Vid2rjnep"
neutral,Great article via @PeoplesWorld on #MLKDay in #Seattle. I spoke about raising min wage + reducing #incomeinequality http://t.co/uABIXN9jLa
neutral,"RT @azpm: .@UofA program provides under-insured, people w/o insurance with free eye screenings, #Tucson, #health https://t.co/5nszTZ3lwS ‰Ű_"
neutral,Today I was honored to attend Shelbyville‰ŰŞs 2-238th General Support Aviation Battalion‰ŰŞs departure ceremony before they deploy to Kuwait.
partisan,"Our current tax code is not working. Do you support a flat tax, fair tax or something else? Tell me on FB http://t.co/t5RJ6jFkF9"
neutral,"Good week for SD football. First @CoachSalemMSU at MSU, now Aberdeen native @OU_CoachHeupel for OU. Congrats, gentlemen."
neutral,".@markpoloncarz Even I can hang out with Dems from time to time, but on this one we'll excuse the staff typo. http://t.co/uNdthRWZbh"
partisan,#Medicare matters because it keeps Southern Arizona seniors healthy.
partisan,Visiting with seniors at Bella Vista Gardens (w Senator Brian Stack) http://t.co/XX1CdsgdzY
partisan,"$21M #HeadStart grant to @CAOErieCounty will foster lifelong appreciation for learning, improve opportunity for youth http://t.co/KleZhMV0ke"
neutral,Next week I will chair a @SmallBizGOP subcommittee hearing on challenges facing #SmallBiz owned by service-disabled veterans. #NY22 #4jobs
neutral,Hearing that tonight‰ŰŞs #SOTU address is a pivot back to #jobs. We should not have lost focus on #jobs. @NationalJournal http://t.co/IxU4Y77x
neutral,It's an honor to be recognized by @TechAmerica with the 2014 Congressional Tech Leader Award! http://t.co/AmAgjWbTnI
neutral,In praise of income inequality http://t.co/gYXq3blCcE
neutral,@dgfohio @mrclean2012 my guess is that they were really M4s
neutral,From @USATODAY: ‰ŰĎBoehner invites Pope Francis to address Congress‰Űť http://t.co/mrRl8v3N3R
partisan,Bipartisan support. #ECPA needs to be updated for the digital age so that we can protect our online communications! #EmailPrivacyAct
neutral,Agreed!!! ‰ŰĎ@MattMackowiak: An absolute disgrace that the U.S. has abandoned this man -- http://t.co/AIQPyDtCmH‰Űť
neutral,Our hearing on Ebola with Liberian President Ellen Johnson Sirleaf will begin at 10:30. You'll be able to watch here: http://t.co/pFbBaevLlr
neutral,"The @hughhewitt show is going live! Tune in! We have @SpeakerBoehner, @MarkSteynOnline, &amp; James Lileks. http://t.co/yaya9ekK3c #hewitt"
neutral,My thoughts and prayers are with the families of the 19 brave firefighters who lost their lives this weekend in Arizona.
neutral,I hope you can join me on Thursday for Coffee with Constituents. KCK South Branch - Argentine Library. 3104 Strong Ave in KCK 3:30-4:30pm
partisan,"In 2/3 of families with children, a woman is either the primary or co-breadwinner, so her earnings are vital to their families."
neutral,"The #NRA is powerful. People power is just as powerful, we just don't exercise it enough."
neutral,"RT @ByronYork: Another news story begins, 'In another setback for President Obama‰ŰŞs health care initiative‰Ű_' http://t.co/bfVYtgGjTl"
partisan,Managing the debate on funding national parks and museums closed during #GOPshutdown.
neutral,"Even in Rep Cantor's district, 72% support the bipartisan immigration reform awaiting House consideration: http://t.co/SZRNWIT1Sz #TimeIsNow"
partisan,Just started a @HouseVetAffairs committee hearing to get to the bottom of the #VAScandal. Watch live http://t.co/jMWiBwUZsO or on C-SPAN 2.
neutral,Joining the @MarkDavis show on @660KSKY this morning just after 8:30am CT. Hope you'll tune in: http://t.co/LOGX8tgP5d
neutral,"Yesterday, I met with students and teachers from R.L. Paschal High School at the U.S. Capitol. http://t.co/tDoI9QJ6Fk"
neutral,Proud to help launch the #WomenSucceed economic agenda in support of the millions of women working to achieve job security &amp; stability
neutral,"Last week, I stopped by #BriafcliffManor Fire Department to thank them for their critical public service."
neutral,My thoughts and prayers go out to @RoxanneConlin and her family.  Carolyn and I wish you a speedy recovery.
partisan,"Thx to Pres Obama, longest war in our history is now coming to an end. We owe our troops gratitude &amp; support as they return home"
neutral,Tune in to @FoxBusiness now--I'm up next discussing this week's #IRS hearing.
neutral,"ICYMI: ""Rep. Larry Bucshon hosting live Facebook chat on #driverless vehicles"" (via @theheraldtimes &amp; @govtracker)  http://t.co/vg6FZVqlgO"
neutral,"Thx @RepGutierrez &amp; @repjoseserrano, champs of #immigrantreform, to join our community's efforts http://t.co/WqmIWpko3Q"
neutral,Veterans have a new online resource to connect with employers #jobs #opportunity ‰ŰŇ RT to share https://t.co/Ix7d3afcnf
neutral,"Did you know that #Sochi, site of the upcoming Winter Olympics, &amp; #LongBeach are Sister Cities? http://t.co/sYKwXr2G9V #Sochi2014 #GoTeamUSA"
neutral,"Just voted to make sure President Obama is held accountable to our hardworking, American taxpayers! Read more here: http://t.co/haax7aM9gT"
neutral,Coble statement on latest CR votes http://t.co/xH4qoVTgc9
partisan,Saving Women's Lives #ObamaCareInThreeWords
neutral,Dr Lonnie Shea and his research team share their work in cancer biology and regenerative medicine #Path2Cures http://t.co/B5ES8qVUVA
neutral,My heart and prayers are with the Martin family. I will continue to fight for justice for Trayvon.
neutral,@clancycnn: There are some TWO HUNDRED #ChibokGirls waiting for all of us to do SOMETHING.  #BRINGBACKOURGIRLS Now.  Today. #JoinRepWilson
neutral,"Yesterday, the @Gburg_Times published my op-ed about common sense immigration reform. http://t.co/6xUnlqjPLt"
neutral,#LetsGoOakland
neutral,"The Sexton Act would integrate mental health assessments into a soldier‰ŰŞs annual PHA, improving upon the existing system. #milhealth"
neutral,Being a senator means getting votes on what you want and also having to take tough votes on what you don‰ŰŞt. http://t.co/W6nXFY8c7u
neutral,Great visiting Coastal Coffee Roasters in Summerville as part of #SmallBusinessSaturday! #WhoYaGonnaCall http://t.co/MBV8oDiYCK
neutral,The US has the most unequal distribution of income of any major country in the industrialized world.
neutral,We need a strategic plan to stop the spread of #ISIS's hateful ideology and violence. #HJRes123 #ISIS
partisan,"Great questions at my town hall meeting in LaPlace. Good discussion on border crisis, VA, and flood insurance. http://t.co/NWnwaQowsE"
neutral,This week is 20th anniversary of Violence Against Women Act. Ravens did right thing &amp; released Ray Rice. Reminder we have work to do.
neutral,"In a few minutes, the House will vote to defund ObamaCare and avoid a government shut down. #SenateMustAct"
partisan,Pleased that @CMSGov has been so responsive to the needs of RI's hospitals and health care workers http://t.co/vsdgXM6KTu
partisan,Glad @JerryBrownGov signed the anti-human trafficking SB955 into law. CA should lead the way--I applaud his decision. http://t.co/x4QOM8GWIU
neutral,"Wishing a happy birthday to a #MakeItInAmerica champion and my friend from Illinois, @RepLipinski."
partisan,"#ObamaCare website faces security risks, watchdog finds http://t.co/wH3Ec84300 via @WSJhealth"
neutral,I'll join @SteveMTalk at 3:20pm ET to discuss the President's #WarOnCoal. Tune in here: http://t.co/UpVxsiiyTV
neutral,"Pleased to join California Edition's Brad Pomerance to discuss immigration reform, which you can watch online here: http://t.co/5qqGNidlTU"
partisan,Senator Hatch backs bill to protect Americans‰ŰŞ private health care information http://t.co/wFP86bn3BZ
partisan,Proud cosponsor of the #EmailPrivacyAct. Learn more about this bill to strengthen the 4th Amdt. http://t.co/g3L2lapiUd
partisan,Great day for #ReligiousFreedom as #SCOTUS sides with #HobbyLobby in case on ACA's contraception mandate. #IStandWithHobbyLobby
neutral,"#Tax Tips Newsletter: http://t.co/b0JW2PTvse To get future updates like this, be sure to subscribe to my e-newsletter."
partisan,House @Transport‰ŰŞs review of #MorganzaToTheGulf today was long overdue but welcomed step toward including it in final water resources bill
partisan,Pleased @EPA has extended the comment period to 12/1 for the carbon emissions rule. For directions on how 2 comment: http://t.co/z46OHlQxGJ
neutral,.@leecruse thanks for having Sen. McConnell on your show on @WVLK today to discuss hemp seeds being held up by DEA. #Kentucky
neutral,"The @PuebloChieftain on our #immigration bill: ""Congress has a historic opportunity to do something useful."" http://t.co/ZQOx6fjO5W"
neutral,@_JMILLY great to see you at the @Deltas_United Get Fit event in Hayward!
neutral,The #ABLEact levels the playing field for those w/ disabilities. Let‰ŰŞs make it law of the land: http://t.co/7tKP4G6xPP
neutral,Bipartisan budget deal is step in right direction (though not ideal) - reduces deficit and does not raise taxes. http://t.co/S8QQifw4Iy
neutral,If it's Sunday.... About to sit down for .@meetthepress roundtable. Check your local listings and tune in! http://t.co/XcpaAFLmV3
neutral,"Talking to the winner of the Congressional Art Competition. #TX23

3TX23 http://t.co/EzQGQHgXnB"
neutral,Happy 90th to Jack Davis of #Madison. Celebrating today in #Guilford with wonderful family and community grateful for boundless service.
neutral,The @EPWRepublicans have yet to receive answers to our requests. VIDEO of #GinaMcCarthy press conference here: http://t.co/4sJChPU7l8
partisan,@KatG4 understand concerns. Important to note: bill still changing via amendments etc. so nothing final which is why we're following closely
partisan,RT @RepJimMcDermott: If only the #GOP were as committed to job growth as it is to meaningless gestures. #Obamacare #37X http://t.co/LX3kjVz‰Ű_
neutral,"Do you have ?s you'd like @DarrellIssa to ask the #IRS Commissioner tonight? If so, share them w/ him NOW: https://t.co/7UyPH1zZOh #tcot"
neutral,"My bill, H.R. 4604, the CFPB Data Collection Security Act, has been passed by @FinancialCmte. Read more here --&gt; http://t.co/fzxapxBQyh"
neutral,Hope you will take time to read former Senator Judd Gregg‰ŰŞs #Obamacare op-ed in @thehill. #idpol http://t.co/xOu8hic9i7
neutral,Deaths From Narcotic Painkillers Quadrupled in Past Decade: CDC http://t.co/V3CiD9tykk via @usnews
neutral,"@scottlpa Scott, when you say ""u need to stop it"" what are your specific suggestions? We've told them to stop &amp; alerted people of the truth"
partisan,Believe this cancer survivor - health care isn't simple. But Republicans tell #Obamacare stories in black and white. http://t.co/aq18ScQHcZ
neutral,‰ŰĎmil needs environment where victims can come fwd w/o fear of retaliation‰Űť quote w @RepMikeTurner on DOD #MST report http://t.co/2DcPJqpM4x
partisan,RT @RepLynnJenkins: Good piece by @RepMikePompeo in @USATODAY on the president's health care law #TrainWreck http://t.co/BCIhYl6UKd
partisan,"John Brennan: In some cases, unauthorized interrogation techniques ‰ŰĎwere abhorrent and rightly should be repudiated by all.‰Űť #ReadTheReport"
neutral,I might consider making a beer run for PBO if he asked me RT @RussellStinger: Do u ever think that you will make a run for president?
neutral,I answered the call of @beckylockhart - Ice Bucket Challenge to fight cancer https://t.co/AfvsK5NNFT I challenge @MayorBenMcAdams #utpol
partisan,"VIDEO: On @FoxNews, Senator Ayotte says #Obamacare problems go beyond website http://t.co/h2kyocKdIz"
partisan,TONIGHT: Don't forget to join me at my Ft. Worth Town Hall tonight from 6:30-8pm. http://t.co/u3MX24BPam
partisan,"thank you! MT @ryanoferguson: Congrats @RepJoeKennedy on Manufacturing Act signed by Pres Obama. Good for MA, good for US #mapoli"
neutral,"Proud to honor #Vietnam #vet Thomas P. Doody &amp; give his long-overdue Presidential Unit Citation to his brother, Jim. http://t.co/9aHlj1TLM6"
neutral,RT @JaneLernerNY: NY Medical College gets NIH grant for sleep disorders - http://t.co/yRxeILPRnd
neutral,RT @GovChristie: Help support @SandyNJRelief by eating out on June 19th for @NationalDineOut Day. Mary Pat has all the details here: http:/‰Ű_
partisan,Disheartened by today‰ŰŞs McCullen ruling: a step backwards for women exercising their constitutional right to safe &amp; legal abortion. -RB
neutral,Congratulations to the new committee chairmen from Texas: @RepHensarling @LamarSmithTX21 @McCaulPressShop and @PeteSessions.
neutral,Congratulations to Marine Corps League 750 on dedication of Memorial at Freedom Park...Semper Fi US Marines http://t.co/WEVn4LnnU9
neutral,I love the Earth... http://t.co/g87kaptEdN
partisan,Glad to see @Interior award $9.4M in grants to help Native American tribes advance energy and mineral resources: https://t.co/kqH7AGngf0
neutral,A great visit from one of @UFlorida's future quarterbacks ‰ŰŇ Jaden Vidal! http://t.co/eW8fOqH5rP
neutral,Happy Centennial to the U.S. Department of Labor!
partisan,This is the attitude rather than working with us http://t.co/4IJ4O8WoT2
neutral,Stockman seeks to protect workers from a labor union‰ŰŞs coercive ‰Ű÷Card Check‰ŰŞ system http://t.co/umjTjNDZEs #pjnet
neutral,‰ŰĎ@markdotdo: @treyradel dig the new tumblr theme. http://t.co/DkAxL4Q6IU‰Űť Thanks man!
partisan,"No matter what question you ask the NRA, there is always only one answer: ""more guns""."
neutral,.@colsgachamber RT: Happy to announce my membership with the Congressional Defense Communities Caucus. #veterans
neutral,"RT @ArkBusiness: Mark Pryor, John Boozman Introduce Bill to Help Farmers Affected by Turner Grain http://t.co/r5UWCdyto3"
neutral,"Carl congratulates Rep. John Dingell, a ""most remarkable man."" http://t.co/6PMsoHBJca"
partisan,It is simply outrageous that the board of AIG would even consider suing the federal government. Read my full statement: http://t.co/NaZ23skJ
